ORIGIN_AIRPORT,DESTINATION_AIRPORT,DISTANCE,FLY_DATE
ANC,SEA,1448,1/10/2008
LAX,PBI,2330,1/11/1990
SFO,CLT,2296,1/12/1990
LAX,MIA,2342,1/10/1990
SEA,ANC,1448,1/02/1990
SFO,MSP,1589,1/03/1990
LAS,MSP,1299,1/01/1990
LAX,CLT,2125,1/09/1990
SFO,DFW,1464,1/11/1990
LAS,ATL,1747,1/02/1990
DEN,ATL,1199,1/01/1990
LAS,MIA,2174,1/02/1990
LAX,MSP,1535,1/03/1990
SLC,ATL,1590,1/04/1990
SEA,MSP,1399,1/01/1990
ANC,SEA,1448,1/01/1990
ANC,SEA,1448,1/10/1990
SFO,IAH,1635,1/06/1990
ANC,PDX,1542,1/02/1990
PDX,MSP,1426,1/02/1990
LAS,MCI,1139,1/10/1990
SEA,MIA,2724,1/09/1990
LAS,DFW,1055,1/09/1990
LAX,MIA,2342,1/06/1990
LAS,MSP,1299,1/03/1990
LAX,IAH,1379,1/08/1990
FAI,SEA,1533,1/03/1990
MSP,FLL,1487,1/11/1990
LAS,CLT,1916,1/04/1990
DEN,MIA,1709,1/12/1990
PHX,ORD,1440,1/04/1990
PHX,MIA,1972,1/05/1990
ANC,SEA,1448,1/08/1990
SLC,ATL,1590,1/05/1990
LAS,IAH,1222,1/11/1990
LAS,HNL,2762,1/12/1990
ANC,PHX,2552,1/07/1990
SJU,EWR,1608,1/07/1990
ANC,SEA,1448,1/01/1990
SJU,JFK,1598,1/08/1990
PBG,FLL,1334,1/08/1990
PHX,DFW,868,1/04/1990
PHX,DFW,868,1/07/1990
ANC,PDX,1542,1/07/1990
IAG,FLL,1176,1/10/1990
SJU,EWR,1608,1/01/1990
PHX,CLT,1773,1/02/1990
ANC,SEA,1448,1/10/1990
PSE,MCO,1179,1/09/1990
BQN,EWR,1585,1/03/1990
BQN,MCO,1129,1/09/1990
SJU,BOS,1674,1/04/1990
SJU,MCO,1189,1/06/1990
BQN,MCO,1129,1/01/1990
PSE,MCO,1179,1/06/1990
SJU,BDL,1666,1/08/1990
ORD,PHX,1440,1/03/1990
GEG,SEA,224,1/05/1990
HNL,ITO,216,1/12/1990
ONT,SFO,363,1/11/1990
HNL,KOA,163,1/12/1990
ANC,SEA,1448,1/11/1990
HNL,OGG,100,1/11/1990
ORD,IAH,925,1/03/1990
MCO,MIA,192,1/04/1990
BOS,MYR,738,1/12/1990
HIB,MSP,174,1/02/1990
ABR,MSP,257,1/06/1990
MAF,IAH,429,1/07/1990
SEA,PHX,1107,1/02/1990
DFW,MIA,1121,1/05/1990
BOS,MIA,1258,1/10/1990
MKE,IAH,984,1/05/1990
PDX,PHX,1009,1/03/1990
IAH,MIA,964,1/01/1990
BNA,DTW,456,1/02/1990
BRO,IAH,308,1/01/1990
VPS,ATL,250,1/12/1991
BOI,SFO,522,1/12/1991
BJI,MSP,199,1/12/1991
HNL,LIH,102,1/02/1991
BNA,ATL,214,1/11/1991
SGF,DFW,364,1/09/1991
PHL,IAH,1325,1/05/1991
PDX,DEN,991,1/10/1991
SEA,DEN,1024,1/08/1991
DEN,DFW,641,1/06/1991
SBN,ORD,84,1/03/1991
PHL,MCO,861,1/04/1991
ORD,FLL,1182,1/01/1991
RDD,SFO,199,1/07/1991
EUG,DEN,996,1/08/1991
SFO,DEN,967,1/05/1991
ORD,DEN,888,1/05/1991
IAD,IAH,1190,1/03/1991
BUF,JFK,301,1/08/1991
PWM,JFK,273,1/06/1991
JFK,SJU,1598,1/03/1991
CRP,IAH,201,1/06/1991
PIA,DTW,346,1/07/1991
ORD,DTW,235,1/10/1991
FAT,LAX,209,1/10/1991
SMF,DEN,909,1/11/1991
AUS,LAX,1242,1/06/1991
BOS,BWI,369,1/03/1991
ORD,BOS,867,1/02/1991
PHX,DTW,1671,1/02/1991
MCI,ATL,692,1/09/1991
BOS,DTW,632,1/09/1991
ATL,IAD,534,1/01/1991
JAX,EWR,820,1/10/1991
MFR,DEN,964,1/11/1991
SLC,IAH,1195,1/12/1991
IDA,DEN,458,1/12/1991
MSN,DEN,826,1/01/1991
MKE,DTW,237,1/11/1991
GEG,DEN,836,1/07/1991
SEA,IAH,1874,1/04/1991
DCA,IAH,1208,1/01/1991
SAT,DFW,247,1/08/1991
JFK,MIA,1089,1/08/1991
BOS,PBI,1197,1/07/1991
BOS,JFK,187,1/09/1991
JFK,BQN,1576,1/04/1991
DFW,ATL,731,1/12/1991
CHS,EWR,628,1/04/1991
MKE,DEN,896,1/05/1991
MSP,DEN,680,1/02/1991
CHS,DFW,987,1/01/1991
DEN,LAX,862,1/01/1991
SBA,DEN,916,1/01/1991
SMX,LAX,134,1/07/1991
HNL,KOA,163,1/02/1991
BOS,BUF,395,1/02/1991
PDX,EWR,2434,1/01/1991
IND,PHX,1488,1/11/1991
LAX,DEN,862,1/12/1991
CLE,IAH,1091,1/10/1991
BOS,EWR,200,1/10/1991
DEN,PHX,602,1/12/1991
MCI,PHX,1044,1/12/1991
AUS,DFW,190,1/12/1991
LAX,DFW,1235,1/07/1991
GSP,ATL,153,1/09/1991
MCO,EWR,937,1/09/1991
MCI,IAH,643,1/07/1991
BDL,IAD,326,1/09/1991
ABI,DFW,158,1/01/1991
RIC,IAH,1157,1/07/1991
BFL,DEN,845,1/11/1991
SAT,SFO,1482,1/01/1991
OMA,IAH,781,1/11/1991
RDM,DEN,898,1/06/1991
FLL,BDL,1173,1/06/1991
CID,ATL,694,1/06/1991
SFO,DEN,967,1/05/1991
MCO,LAX,2218,1/04/1991
TPA,EWR,997,1/03/1991
SEA,DFW,1660,1/06/1991
BOS,DFW,1562,1/03/1991
SYR,JFK,209,1/03/1991
ROC,JFK,264,1/05/1991
TYR,DFW,102,1/08/1991
MCI,ORD,403,1/05/1991
LAN,ORD,179,1/04/1991
BUF,EWR,282,1/08/1991
XNA,DFW,280,1/01/1991
GSO,EWR,445,1/04/1991
ORD,LGA,733,1/02/1991
LAX,IAH,1379,1/11/1991
EWR,MIA,1085,1/02/1991
ONT,DEN,819,1/02/1991
MSP,DEN,680,1/01/1991
PBI,IAH,956,1/03/1991
PHX,IAH,1009,1/05/1991
RSW,IAH,861,1/08/1991
EWR,MCO,937,1/10/1991
OMA,ORD,416,1/10/1991
SMF,PHX,647,1/09/1992
OAK,PHX,646,1/09/1992
PVD,CLT,683,1/06/1992
RNO,DEN,804,1/06/1992
PIT,IAH,1117,1/03/1992
DEN,IAH,862,1/03/1992
BOS,BWI,369,1/06/1992
LAS,BWI,2106,1/08/1992
ABQ,HOU,759,1/10/1992
PHX,SLC,507,1/10/1992
PIT,FLL,994,1/12/1992
PVD,BWI,327,1/08/1992
SFO,ATL,2139,1/03/1992
SFO,ORD,1846,1/02/1992
MCO,EWR,937,1/12/1992
PDX,IAH,1825,1/12/1992
BOS,ORD,867,1/04/1992
SFO,LAX,337,1/02/1992
SAT,LAX,1211,1/02/1992
BOS,LAX,2611,1/05/1992
SEA,EWR,2402,1/04/1992
LAX,ORD,1744,1/11/1992
IAH,PHX,1009,1/11/1992
MCO,PHX,1849,1/08/1992
SFO,PHX,651,1/10/1992
DFW,MCO,985,1/11/1992
MIA,PHL,1013,1/07/1992
SLC,DFW,989,1/07/1992
DCA,DFW,1192,1/07/1992
MIA,DFW,1121,1/05/1992
BWI,MIA,946,1/04/1992
DFW,LGA,1389,1/05/1992
LGA,DFW,1389,1/01/1992
DEN,ORD,888,1/01/1992
MCI,DFW,460,1/01/1992
MCO,DFW,985,1/06/1992
SFO,DFW,1464,1/09/1992
TUL,DFW,237,1/03/1992
LGA,MIA,1096,1/11/1992
LIT,DFW,304,1/01/1992
MIA,LGA,1096,1/12/1992
LAS,DFW,1055,1/11/1992
PDX,DFW,1616,1/03/1992
TPA,DFW,929,1/02/1992
SMF,DFW,1431,1/01/1992
MSY,MIA,675,1/04/1992
LAX,ORD,1744,1/08/1992
OMA,DFW,583,1/02/1992
OKC,DFW,175,1/11/1992
SEA,ANC,1448,1/01/1992
FAI,ANC,261,1/05/1992
SEA,SJC,697,1/03/1992
SEA,OAK,671,1/09/1992
PDX,SJC,569,1/02/1992
LAX,SEA,954,1/01/1992
PHX,SEA,1107,1/11/1992
DEN,SEA,1024,1/01/1992
GEG,SEA,224,1/06/1992
RSW,JFK,1074,1/02/1992
PBI,JFK,1028,1/03/1992
JFK,PBI,1028,1/09/1992
TPA,JFK,1005,1/10/1992
FLL,LGA,1076,1/05/1992
OAK,LGB,353,1/06/1992
LGA,FLL,1076,1/07/1992
JFK,MCO,944,1/12/1992
EWR,FLL,1065,1/07/1992
JFK,TPA,1005,1/03/1992
PSE,JFK,1617,1/04/1992
MSY,JFK,1182,1/04/1992
AUS,JFK,1521,1/10/1992
BQN,JFK,1576,1/04/1992
TPA,BOS,1185,1/08/1992
JAX,JFK,828,1/02/1993
DCA,BOS,399,1/04/1993
JFK,ATL,760,1/03/1993
LGA,DTW,502,1/11/1993
RNO,SLC,422,1/01/1993
BOS,JFK,187,1/05/1993
BOS,MSP,1124,1/09/1993
LGA,ATL,762,1/12/1993
ORD,ATL,606,1/06/1993
ANC,MSP,2519,1/12/1993
ATW,ATL,765,1/03/1993
PHX,ATL,1587,1/09/1993
PNS,ATL,271,1/01/1993
MCO,SLC,1931,1/10/1993
ONT,DFW,1188,1/05/1993
DCA,MIA,919,1/04/1993
RIC,ATL,481,1/01/1993
LAX,ATL,1947,1/05/1993
BOS,ATL,946,1/05/1993
LAS,DTW,1749,1/04/1993
OKC,ATL,761,1/08/1993
MCO,MSP,1310,1/12/1993
MEM,ATL,332,1/11/1993
TUL,ATL,674,1/06/1993
BWI,DTW,409,1/11/1993
BOS,PHL,280,1/07/1993
MCO,LGA,950,1/06/1993
FLL,JFK,1069,1/06/1993
SJU,JFK,1598,1/04/1993
BOS,DCA,399,1/07/1993
TYS,DFW,772,1/02/1993
MHT,ORD,843,1/02/1993
SAV,EWR,708,1/03/1993
MEM,EWR,946,1/02/1993
CLT,ORD,599,1/08/1993
TYS,IAD,419,1/09/1993
GRB,ORD,173,1/10/1993
ABE,DTW,425,1/03/1993
JAN,ATL,341,1/12/1993
OAJ,ATL,399,1/01/1993
FAR,ORD,557,1/03/1993
JAN,ORD,677,1/02/1993
ERI,ORD,398,1/04/1993
ATW,ORD,160,1/01/1993
LEX,ORD,323,1/01/1993
CWA,ORD,212,1/02/1993
MSO,DEN,679,1/11/1993
ORD,MIA,1197,1/03/1993
CLE,FLL,1062,1/11/1993
IAH,SFO,1635,1/12/1993
SEA,DEN,1024,1/09/1993
SFO,IAH,1635,1/01/1994
TTN,ATL,701,1/12/1994
ATL,TTN,701,1/10/1994
HNL,ITO,216,1/06/1994
MAF,DFW,309,1/09/1994
AMA,DFW,312,1/01/1994
CLL,DFW,164,1/05/1994
HOU,DFW,247,1/04/1994
DFW,BTR,383,1/06/1994
JLN,DFW,327,1/08/1994
CID,DFW,685,1/01/1994
MLI,DFW,691,1/11/1994
GSP,DFW,862,1/11/1994
RDU,JFK,427,1/12/1994
CVG,MIA,948,1/02/1994
MHK,DFW,431,1/11/1994
MOB,DFW,539,1/10/1994
TLH,DFW,767,1/07/1994
PNS,MIA,530,1/03/1994
BHM,MIA,661,1/01/1994
CVG,DFW,812,1/10/1994
CAE,DFW,922,1/08/1994
TXK,DFW,181,1/04/1994
OAK,LAS,407,1/02/1994
DFW,OAK,1457,1/11/1994
ACY,RSW,982,1/02/1994
DTW,LGA,502,1/06/1994
DFW,FLL,1119,1/06/1994
SMF,LAX,373,1/04/1994
RAP,DEN,300,1/07/1994
TUS,SFO,751,1/10/1994
EAU,ORD,268,1/06/1994
DLH,ORD,397,1/05/1994
FSD,ORD,462,1/05/1994
AUS,SFO,1504,1/05/1994
FAT,SEA,748,1/01/1994
ONT,PDX,838,1/01/1994
INL,BRD,153,1/11/1994
CMX,ORD,359,1/03/1994
SMF,SFO,86,1/03/1994
BOI,LAX,674,1/12/1994
SPI,ORD,174,1/12/1994
CLD,LAX,86,1/04/1994
COD,DEN,391,1/03/1994
FAT,SFO,158,1/09/1994
CMH,MIA,990,1/08/1994
LRD,DFW,396,1/09/1994
PSC,DEN,852,1/09/1994
CPR,DEN,230,1/08/1994
ACV,SFO,250,1/07/1994
DAL,IAH,216,1/08/1994
PAH,ORD,342,1/11/1994
PSC,SFO,620,1/07/1994
CID,ORD,196,1/10/1994
EUG,SFO,451,1/10/1994
DFW,DEN,641,1/02/1994
MRY,SFO,77,1/09/1995
SLC,LAX,590,1/11/1995
ESC,DTW,306,1/11/1995
MFR,SFO,329,1/09/1995
FAT,DEN,844,1/10/1995
SFO,EWR,2565,1/10/1995
LAS,IAH,1222,1/08/1995
EWR,SFO,2565,1/08/1995
ISN,DEN,576,1/08/1995
HNL,LIH,102,1/08/1995
PSP,SFO,421,1/08/1995
PSP,DEN,776,1/08/1995
SAT,IAH,191,1/05/1995
LAX,EWR,2454,1/09/1995
LAX,SFO,337,1/06/1995
CLE,IAD,288,1/07/1995
CAE,IAD,401,1/02/1995
PHX,DEN,602,1/02/1995
SMF,IAH,1609,1/02/1995
JFK,SFO,2586,1/03/1995
BOS,PHX,2300,1/03/1995
BOS,CLT,728,1/03/1995
DTW,MIA,1145,1/01/1995
FLL,EWR,1065,1/01/1995
GEG,DEN,836,1/04/1995
SAT,STL,786,1/06/1995
ONT,DEN,819,1/06/1995
CLE,EWR,404,1/06/1995
DFW,PHX,868,1/04/1995
MFE,DFW,469,1/04/1995
STL,DFW,550,1/12/1995
SJU,MIA,1045,1/12/1995
MKE,DFW,853,1/12/1995
SEA,SFO,679,1/05/1995
SEA,LAS,867,1/07/1995
BTV,JFK,266,1/07/1995
JFK,FLL,1069,1/05/1995
SFO,LGB,354,1/05/1995
PBI,BOS,1197,1/11/1995
MCO,JFK,944,1/09/1995
SJU,MCO,1189,1/10/1995
BDL,ATL,859,1/06/1995
RDU,ATL,356,1/10/1995
SFO,SLC,599,1/03/1995
TUS,IAH,936,1/12/1995
PIA,ATL,565,1/02/1995
IND,DEN,977,1/04/1995
MCI,DEN,533,1/06/1995
DFW,DEN,641,1/01/1995
FSM,DFW,227,1/01/1995
AEX,DFW,285,1/04/1995
SPS,DFW,113,1/03/1995
ACT,DFW,89,1/03/1995
SJT,DFW,229,1/03/1995
JAN,DFW,408,1/02/1995
HNL,OGG,100,1/05/1995
OKC,LAX,1187,1/02/1995
FAR,DEN,627,1/03/1995
SFO,IAH,1635,1/03/1995
EWR,FLL,1065,1/01/1995
MTJ,DEN,196,1/01/1996
RSW,DTW,1084,1/11/1996
GCC,RKS,261,1/06/1996
MSY,EWR,1167,1/04/1996
ORD,MCO,1005,1/05/1996
RIC,ORD,642,1/10/1996
RDM,SFO,462,1/11/1996
OGG,HNL,100,1/07/1996
SJC,SLC,584,1/11/1996
ORD,MBS,222,1/11/1996
EWR,CLT,529,1/03/1996
PHX,BWI,1999,1/12/1996
SEA,IAD,2306,1/11/1996
LAS,SFO,414,1/10/1996
DFW,MIA,1121,1/10/1996
BNA,DFW,631,1/02/1996
PHX,DFW,868,1/10/1996
BOS,MIA,1258,1/01/1996
LAX,STL,1592,1/02/1996
OAK,SEA,671,1/03/1996
SEA,LAX,954,1/01/1996
BOS,IAD,413,1/01/1996
LAX,JFK,2475,1/07/1996
DCA,FLL,899,1/07/1996
DTW,BOS,632,1/03/1996
BNA,LAX,1797,1/06/1996
PHL,ATL,666,1/06/1996
PHX,MSP,1276,1/09/1996
SJU,FLL,1046,1/09/1996
VPS,IAH,528,1/09/1996
GUC,DEN,152,1/06/1996
MIA,LGA,1096,1/04/1996
RIC,MIA,825,1/04/1996
DTW,LGA,502,1/08/1996
ORF,MIA,802,1/05/1996
MOT,DEN,604,1/05/1996
STL,MIA,1068,1/04/1996
BOS,FLL,1237,1/08/1996
MLU,IAH,262,1/08/1996
MAF,DEN,563,1/05/1996
LAX,LAS,236,1/12/1996
PDX,ORD,1739,1/12/1996
JFK,SJU,1598,1/09/1996
KOA,HNL,163,1/06/1996
EUG,SLC,618,1/09/1996
RNO,PHX,601,1/08/1996
PHX,CLT,1773,1/11/1996
CMH,ATL,447,1/06/1996
HOU,ATL,696,1/12/1996
HOU,PHX,1020,1/08/1996
DTW,DFW,986,1/10/1996
BOS,JFK,187,1/02/1996
DFW,DCA,1192,1/12/1996
MSP,DFW,852,1/03/1996
SEA,SNA,978,1/11/1996
BDL,DCA,313,1/07/1996
SJU,BOS,1674,1/11/1996
FLL,EWR,1065,1/05/1996
MOB,ATL,302,1/06/1996
SAN,SLC,626,1/01/1996
LAS,SLC,368,1/04/1996
DCA,DTW,405,1/12/1996
SMF,SLC,532,1/07/1996
DEN,DTW,1123,1/12/1996
SFO,ATL,2139,1/01/1996
LGA,MSP,1020,1/09/1997
LAW,DFW,140,1/07/1997
BRO,DFW,482,1/07/1997
PIB,MEI,69,1/06/1997
CHS,IAH,925,1/10/1997
MEM,IAH,468,1/10/1997
MGM,ATL,147,1/06/1997
SLC,DEN,391,1/11/1997
OMA,DEN,472,1/05/1997
FAR,DFW,968,1/05/1997
DCA,JFK,213,1/08/1997
MSN,DFW,821,1/10/1997
CMH,LGA,479,1/03/1997
SBP,LAX,156,1/03/1997
COS,IAH,809,1/03/1997
OAK,SLC,588,1/07/1997
LAR,DEN,113,1/05/1997
SAN,LAX,109,1/04/1997
BFL,SFO,238,1/04/1997
DRO,PHX,351,1/02/1997
MRY,PHX,598,1/02/1997
FAT,PHX,493,1/12/1997
MSP,ORD,334,1/09/1997
DFW,ORD,802,1/11/1997
BIS,DEN,516,1/01/1997
ITO,HNL,216,1/01/1997
PBI,LGA,1035,1/01/1997
SAT,ORD,1041,1/08/1997
FLL,IAH,965,1/08/1997
BUF,CLT,546,1/06/1997
SEA,ORD,1721,1/09/1997
CMH,FLL,973,1/04/1997
LAS,HOU,1235,1/03/1997
PVD,MCO,1072,1/10/1997
SAN,BWI,2295,1/12/1997
SAN,MDW,1728,1/10/1997
SMF,PHX,647,1/10/1997
SAN,DEN,853,1/01/1997
SAN,EWR,2425,1/02/1997
SJC,PHX,621,1/01/1997
SJC,DFW,1438,1/04/1997
DFW,BOS,1562,1/03/1997
SAN,DFW,1171,1/05/1997
LAX,DFW,1235,1/03/1997
ONT,SEA,956,1/05/1997
RDU,MIA,700,1/03/1997
ROC,ATL,749,1/03/1997
MCO,ATL,404,1/05/1997
DCA,MSP,931,1/05/1997
CAE,IAH,878,1/01/1997
BTR,ATL,448,1/04/1997
IAD,MSP,908,1/01/1997
SAV,DFW,925,1/09/1997
GRI,DFW,561,1/01/1997
PDX,SAN,933,1/07/1997
DFW,MSP,852,1/10/1997
PSP,SLC,541,1/08/1997
ISN,MSP,546,1/08/1997
HLN,DEN,594,1/04/1997
MCO,IAH,854,1/09/1997
BOS,RIC,474,1/07/1997
BZN,DEN,524,1/07/1997
FAT,SLC,501,1/04/1997
FSD,DEN,483,1/09/1997
IAH,ORD,925,1/02/1997
EWR,IAH,1400,1/08/1997
PIT,DTW,201,1/06/1997
FLL,CLT,631,1/06/1997
MIA,EWR,1085,1/06/1997
DEN,ATL,1199,1/02/1997
MDW,PHX,1444,1/01/1997
LAX,PHL,2402,1/06/1997
IAD,DFW,1172,1/02/1997
LAX,AUS,1242,1/10/1997
CLT,DFW,936,1/10/1997
PHL,DFW,1303,1/11/1997
DFW,CLT,936,1/11/1997
ATL,DFW,731,1/12/1997
RDU,DFW,1061,1/04/1997
SAT,DFW,247,1/05/1997
FAI,SEA,1533,1/07/1997
FLL,BOS,1237,1/10/1997
RSW,BOS,1249,1/03/1997
MIA,ATL,594,1/09/1997
BWI,MSP,936,1/09/1997
MDT,ATL,620,1/10/1998
EWR,BOS,200,1/08/1998
SCE,DTW,301,1/07/1998
GEG,DEN,836,1/02/1998
LEX,DFW,785,1/11/1998
VPS,DFW,641,1/08/1998
BWI,ORD,622,1/06/1998
SBA,PHX,455,1/12/1998
SBP,PHX,509,1/03/1998
PNS,IAH,489,1/07/1998
COS,DEN,73,1/01/1998
CLE,ORD,315,1/09/1998
LIH,HNL,102,1/04/1998
TWF,SLC,175,1/12/1998
SAN,ATL,1892,1/06/1998
BDL,ORD,783,1/05/1998
LAX,PHX,370,1/05/1998
EWR,PHX,2133,1/11/1998
PHL,CLT,449,1/12/1998
AUS,IAH,140,1/03/1998
SFO,EWR,2565,1/04/1998
RNO,SFO,192,1/10/1998
SEA,MDW,1733,1/07/1998
SJU,TPA,1237,1/01/1998
HNL,LAX,2556,1/11/1998
CLT,PHL,449,1/06/1998
JFK,PHX,2153,1/10/1998
SAN,PHX,304,1/05/1998
ONT,PHX,325,1/03/1998
MIA,CLT,650,1/12/1998
PBI,ORD,1144,1/09/1998
EWR,DFW,1372,1/08/1998
ANC,OTZ,548,1/02/1998
SAN,SEA,1050,1/02/1998
SAN,PDX,933,1/01/1999
JFK,LAX,2475,1/08/1999
LGA,MCO,950,1/12/1999
JFK,RSW,1074,1/06/1999
BOS,PIT,496,1/09/1999
SFO,JFK,2586,1/05/1999
MSP,ATL,907,1/10/1999
AUS,ATL,813,1/02/1999
COS,ATL,1184,1/04/1999
DTW,ATL,594,1/03/1999
MSY,LGA,1183,1/11/1999
SEA,ATL,2182,1/07/1999
EWR,ATL,746,1/01/1999
TPA,ATL,406,1/07/1999
BPT,DFW,270,1/12/1999
RIC,IAD,100,1/02/1999
EWR,JAX,820,1/01/1999
GPT,IAH,376,1/04/1999
TPA,DEN,1506,1/08/1999
RSW,DEN,1607,1/01/1999
DEN,DFW,641,1/12/1999
CLE,MCO,895,1/03/1999
GPT,DFW,500,1/09/1999
MGM,DFW,622,1/06/1999
SAN,LAX,109,1/02/1999
ACY,MYR,466,1/04/1999
STC,ORD,394,1/11/1999
BOI,LAX,674,1/01/1999
SFO,SAN,447,1/01/1999
MSP,LAX,1535,1/05/1999
BFL,PHX,425,1/07/1999
TPA,ORD,1012,1/10/1999
ORD,IAD,589,1/11/1999
HNL,OGG,100,1/02/1999
JFK,MSY,1182,1/01/2000
MKE,ORD,67,1/12/2000
MIA,ORD,1197,1/09/2000
SEA,PHL,2378,1/06/2000
SAT,ATL,874,1/10/2000
PDX,MDW,1751,1/11/2000
LAS,PHX,255,1/03/2000
JAX,DFW,918,1/02/2000
MSY,DFW,447,1/04/2000
PIT,DFW,1067,1/07/2000
COS,DFW,592,1/05/2000
SEA,SAN,1050,1/08/2000
PDX,SAN,933,1/11/2000
SEA,SLC,689,1/05/2000
PVD,MCO,1072,1/01/2000
HPN,PBI,1056,1/02/2000
JFK,LAS,2248,1/07/2000
MLB,ATL,442,1/12/2000
PIT,ATL,526,1/09/2000
SAN,MSP,1532,1/06/2000
ABE,ATL,692,1/08/2000
SPI,DFW,630,1/10/2000
PLN,DTW,243,1/03/2000
PDX,ONT,838,1/04/2000
RSW,EWR,1068,1/05/2001
SJC,MSP,1576,1/07/2001
CIU,DTW,284,1/03/2001
MCO,CLT,468,1/06/2001
BWI,CLT,361,1/11/2001
EWR,CLT,529,1/01/2001
AUS,ATL,813,1/04/2001
CAK,MCO,861,1/03/2001
FLL,LAS,2173,1/09/2001
MKE,LAS,1524,1/09/2001
PHX,MDW,1444,1/12/2001
SJC,LAS,386,1/08/2001
LAS,EWR,2227,1/10/2001
ORD,EWR,719,1/02/2001
DSM,DFW,624,1/06/2001
IAH,DFW,224,1/04/2001
RIC,DFW,1158,1/09/2001
BLI,SEA,93,1/03/2001
PDX,LAX,834,1/12/2001
SEA,PSP,987,1/08/2001
LAX,PDX,834,1/10/2001
SEA,DFW,1660,1/07/2001
SLC,SJC,584,1/04/2001
BDL,MIA,1194,1/05/2001
RSW,ATL,515,1/01/2001
TPA,LGA,1010,1/11/2001
MCO,LGA,950,1/02/2001
SFO,MSP,1589,1/08/2001
CRP,DFW,354,1/11/2001
SHV,DFW,190,1/11/2002
BTR,DFW,383,1/10/2002
MLU,DFW,293,1/12/2002
PIA,DFW,672,1/05/2002
ROW,DFW,435,1/10/2002
FWA,DFW,859,1/12/2002
CHS,MIA,489,1/11/2002
GSO,MIA,710,1/06/2002
LGA,FLL,1076,1/03/2002
DTW,ATL,594,1/10/2002
DTW,FLL,1127,1/10/2002
PDX,BUR,817,1/11/2002
MSN,ORD,108,1/11/2002
COS,LAX,833,1/07/2002
GCC,DEN,313,1/06/2002
LAX,IAH,1379,1/02/2002
SNA,IAH,1346,1/11/2002
BUF,ORD,473,1/08/2002
SFO,LAX,337,1/04/2002
DAL,MDW,793,1/12/2002
LIT,DAL,296,1/10/2002
MHT,MCO,1142,1/12/2002
ALB,MCO,1073,1/09/2002
SAT,BWI,1407,1/01/2002
OKC,ATL,761,1/12/2002
SNA,PHX,338,1/11/2002
DFW,STL,550,1/11/2002
LGA,DFW,1389,1/11/2002
LAS,ORD,1514,1/05/2002
BNA,MIA,806,1/09/2002
MSP,MIA,1501,1/01/2002
SNA,DFW,1205,1/04/2002
MIA,DCA,919,1/02/2002
JFK,BOS,187,1/11/2002
BOS,DTW,632,1/11/2002
OMA,ATL,821,1/03/2002
PIT,MSP,726,1/07/2002
SNA,ATL,1919,1/08/2002
FLL,ATL,581,1/12/2002
SNA,MSP,1522,1/06/2002
ATL,LGA,762,1/10/2002
BHM,ATL,134,1/02/2003
BNA,ATL,214,1/03/2003
FLL,DFW,1119,1/08/2003
SAN,JFK,2446,1/04/2003
BHM,DFW,597,1/08/2003
HOB,IAH,501,1/02/2003
LNK,DEN,423,1/07/2003
DEN,MSP,680,1/01/2003
LAS,DEN,628,1/10/2003
SNA,DEN,846,1/11/2003
SGF,DFW,364,1/09/2003
CMI,DFW,693,1/10/2003
COU,DFW,489,1/06/2003
BWI,FLL,925,1/05/2003
MCI,IAH,643,1/12/2003
GTF,DEN,624,1/05/2003
BNA,CVG,230,1/04/2003
SNA,SFO,372,1/04/2003
PHX,LAX,370,1/04/2003
