ORIGIN_AIRPORT,DESTINATION_AIRPORT,DISTANCE,FLY_DATE
ATL,IAH,689,1/04/2003
EKO,SLC,200,1/12/2003
IAD,JFK,228,1/01/2003
HNL,KOA,163,1/03/2003
FAT,SFO,158,1/02/2003
LAX,MSP,1535,1/05/2003
PHX,SFO,651,1/09/2003
PIT,CLT,366,1/11/2003
MSP,CLT,930,1/07/2003
BWI,MCO,787,1/10/2003
MSY,ATL,425,1/08/2003
PHX,DAL,879,1/02/2003
FLL,ORD,1182,1/04/2003
PHL,PHX,2075,1/06/2003
LAX,SFO,337,1/08/2003
MEM,DFW,432,1/11/2003
BOS,DFW,1562,1/04/2003
AUS,DFW,190,1/09/2003
DFW,TPA,929,1/10/2003
CLE,DFW,1021,1/02/2003
LAX,DFW,1235,1/08/2003
SJC,SEA,697,1/01/2003
PDX,SNA,859,1/08/2003
LAS,PDX,763,1/10/2003
SEA,SMF,605,1/04/2003
LGB,OAK,353,1/11/2003
LAX,JFK,2475,1/10/2003
AVL,ATL,164,1/07/2003
HSV,ATL,151,1/01/2003
BNA,ORD,409,1/06/2003
SAF,DFW,551,1/09/2003
GRR,DFW,931,1/08/2003
XNA,ORD,522,1/02/2003
SUX,ORD,436,1/12/2003
LFT,DFW,351,1/09/2003
ORD,TPA,1012,1/12/2003
PSP,IAH,1269,1/12/2003
HYS,DEN,298,1/12/2003
BOS,EWR,200,1/03/2003
HNL,ITO,216,1/02/2003
JFK,MIA,1089,1/01/2003
DTW,LAS,1749,1/01/2003
EWR,MIA,1085,1/11/2003
SAN,IAH,1303,1/05/2003
DFW,IAH,224,1/06/2003
RIC,CLT,257,1/04/2003
TPA,CLT,507,1/03/2003
TPA,EWR,997,1/06/2003
CAK,ATL,528,1/03/2003
MCO,ATL,404,1/11/2003
ABQ,DAL,580,1/08/2003
PVD,FLL,1188,1/09/2003
PHL,FLL,992,1/10/2003
PHL,LAS,2176,1/02/2003
MIA,DEN,1709,1/12/2003
TUL,DFW,237,1/07/2003
LAX,BOS,2611,1/05/2003
DFW,LGA,1389,1/10/2003
BWI,DFW,1217,1/08/2003
DFW,LAX,1235,1/12/2003
SFO,JFK,2586,1/04/2003
MKE,MSP,297,1/07/2003
PDX,MSP,1426,1/07/2003
MCO,DCA,759,1/05/2003
JFK,BUF,301,1/03/2003
MSP,LAS,1299,1/05/2003
ATL,MCO,404,1/06/2003
MFE,IAH,316,1/08/2003
TTN,RDU,373,1/05/2003
ELP,ORD,1236,1/06/2003
HSV,ORD,510,1/08/2003
ABQ,ORD,1118,1/02/2003
RDU,SFO,2400,1/10/2003
EWR,LAX,2454,1/04/2003
DCA,CLT,331,1/03/2003
MCO,EWR,937,1/01/2003
DCA,MIA,919,1/07/2004
JFK,SFO,2586,1/02/2004
JFK,PBI,1028,1/05/2004
LGA,ATL,762,1/11/2004
PSP,PHX,261,1/03/2004
DVL,JMS,83,1/07/2004
ALB,ORD,723,1/04/2004
PDX,SFO,550,1/05/2004
EWR,TPA,997,1/09/2004
JAX,CLT,328,1/11/2004
CLE,CLT,430,1/01/2004
CLT,MIA,650,1/10/2004
IAH,CLT,912,1/08/2004
IND,CLT,427,1/02/2004
DFW,CLT,936,1/09/2004
LGA,ORD,733,1/08/2004
BOS,IAH,1597,1/12/2004
BOS,ORD,867,1/11/2004
SFO,EWR,2565,1/06/2004
SNA,DEN,846,1/07/2004
SFO,IAH,1635,1/10/2004
JFK,LAX,2475,1/09/2004
LAS,SFO,414,1/06/2004
BUF,FLL,1165,1/12/2004
BWI,HOU,1246,1/11/2004
BWI,LAS,2106,1/08/2004
CLE,PHX,1737,1/01/2004
DCA,DAL,1184,1/04/2004
ISP,FLL,1092,1/03/2004
MDW,DAL,793,1/01/2004
MDW,TPA,997,1/02/2004
MSP,MDW,349,1/10/2004
PIT,MCO,834,1/07/2004
SAT,BNA,822,1/09/2004
HOU,MCO,849,1/05/2004
MCO,SFO,2446,1/06/2004
EWR,DEN,1605,1/02/2004
ORD,PHX,1440,1/08/2004
ATL,CLT,226,1/06/2004
SLC,PHX,507,1/10/2004
BOI,PHX,735,1/10/2004
DCA,PHX,1979,1/11/2004
JFK,LAX,2475,1/08/2004
ATL,MIA,594,1/09/2004
LAX,JFK,2475,1/03/2004
SFO,MIA,2585,1/07/2004
BOS,LAX,2611,1/07/2004
MIA,LAS,2174,1/08/2004
DFW,BNA,631,1/02/2004
LGA,ORD,733,1/07/2004
FAT,DFW,1313,1/12/2004
BOS,ORD,867,1/11/2004
LAS,DFW,1055,1/08/2004
MIA,IAH,964,1/12/2004
DFW,MCO,985,1/12/2004
MCO,LAX,2218,1/11/2004
MIA,BOS,1258,1/01/2004
TPA,DFW,929,1/07/2004
SEA,DFW,1660,1/05/2004
DFW,ATL,731,1/04/2004
TUS,DFW,813,1/11/2004
DFW,MIA,1121,1/05/2004
LGA,MIA,1096,1/10/2004
EWR,SEA,2402,1/12/2004
MSP,SEA,1399,1/10/2004
ANC,SEA,1448,1/11/2004
PSP,SFO,421,1/05/2004
SFO,SEA,679,1/09/2004
SJC,PDX,569,1/09/2004
PDX,SEA,129,1/02/2004
LAX,SEA,954,1/06/2004
SEA,LAX,954,1/04/2004
SNA,SEA,978,1/04/2004
BUR,SEA,937,1/09/2004
LAS,SEA,867,1/03/2004
PHX,PDX,1009,1/03/2004
SLC,LAX,590,1/03/2004
PDX,HNL,2603,1/06/2004
SAN,OGG,2541,1/02/2004
OAK,LIH,2457,1/01/2004
LAX,BOS,2611,1/05/2004
BOS,DCA,399,1/07/2004
BOS,SAN,2588,1/04/2004
DCA,MCO,759,1/06/2004
BOS,JAX,1010,1/01/2004
PDX,LGB,846,1/01/2004
BOS,HOU,1609,1/08/2005
BOS,AUS,1698,1/08/2005
PIT,FLL,994,1/02/2005
SEA,LAX,954,1/02/2005
PDX,JFK,2454,1/07/2005
JFK,LAX,2475,1/05/2005
SEA,DTW,1927,1/07/2005
SFO,DTW,2079,1/07/2005
DCA,ATL,547,1/04/2005
ORF,ATL,516,1/02/2005
DAB,ATL,366,1/05/2005
PBI,ATL,545,1/01/2005
SLC,MSP,991,1/06/2005
SEA,MSP,1399,1/01/2005
DAY,DFW,861,1/05/2005
MSP,PHX,1276,1/06/2005
LGA,PBI,1035,1/09/2005
RSW,LGA,1080,1/07/2005
MIA,LGA,1096,1/09/2005
CLE,ATL,554,1/12/2005
PBI,LGA,1035,1/04/2005
JFK,SJU,1598,1/10/2005
MKE,ATL,669,1/04/2005
RDU,BOS,612,1/12/2005
JFK,SFO,2586,1/12/2005
FLL,LGA,1076,1/11/2005
LAX,DTW,1979,1/06/2005
LAS,JFK,2248,1/12/2005
MSP,MIA,1501,1/10/2005
MSP,RSW,1416,1/11/2005
JFK,MCO,944,1/10/2005
CLE,ORD,315,1/12/2005
LFT,IAH,201,1/01/2005
SHV,ATL,551,1/03/2005
ROC,LGA,254,1/10/2005
CID,MSP,220,1/09/2005
PVD,ORD,849,1/09/2005
ORD,PHX,1440,1/10/2005
CLE,RSW,1025,1/09/2005
DEN,MCO,1546,1/08/2005
MCO,DEN,1546,1/11/2005
DFW,DSM,624,1/05/2005
GRK,DFW,134,1/02/2005
PNS,DFW,604,1/10/2005
GJT,DFW,773,1/09/2005
HPN,ORD,738,1/11/2005
BMI,DFW,690,1/08/2005
DFW,MAF,309,1/08/2005
ATL,FLL,581,1/03/2005
ACY,FLL,977,1/03/2005
LBE,RSW,956,1/03/2005
IAH,LAS,1222,1/06/2005
FLL,MCO,177,1/02/2005
FLL,BOS,1237,1/01/2005
ASE,DEN,125,1/04/2005
BUR,SFO,326,1/04/2005
SAN,SLC,626,1/07/2005
KOA,HNL,163,1/09/2005
SEA,PDX,129,1/08/2005
RKS,DEN,260,1/10/2005
SBA,SFO,262,1/04/2005
BOI,ORD,1437,1/12/2005
CPR,SLC,320,1/03/2005
COS,DEN,73,1/03/2005
ORD,DEN,888,1/01/2005
PHX,ORD,1440,1/05/2005
MSY,IAH,305,1/02/2005
CLE,RSW,1025,1/11/2005
MIA,TPA,204,1/07/2005
BTR,IAH,253,1/06/2005
BTV,ORD,763,1/09/2005
FLL,BWI,925,1/08/2005
SFO,BOI,522,1/10/2005
ORD,SFO,1846,1/11/2005
SFO,JFK,2586,1/06/2005
BDL,FLL,1173,1/07/2005
BWI,FLL,925,1/03/2005
CMH,TPA,829,1/12/2005
DAL,BWI,1209,1/02/2005
DAL,STL,546,1/05/2005
FLL,BWI,925,1/04/2005
MCO,LAS,2039,1/08/2005
MDW,MCO,990,1/06/2005
OAK,HOU,1642,1/09/2005
SAT,ELP,496,1/01/2005
TPA,BWI,842,1/03/2005
TUS,DEN,639,1/05/2005
SNA,EWR,2434,1/07/2005
RDU,CLT,130,1/04/2005
MKE,PHX,1460,1/02/2005
BWI,PHX,1999,1/11/2005
SAN,DFW,1171,1/02/2005
PDX,ORD,1739,1/10/2005
ORF,DFW,1212,1/07/2005
OKC,DFW,175,1/12/2005
MIA,LAX,2342,1/01/2005
MIA,JFK,1089,1/10/2005
PHX,ORD,1440,1/11/2005
IND,DFW,761,1/12/2005
CMH,DFW,926,1/12/2005
LAS,LGB,231,1/12/2006
LGB,SMF,387,1/12/2006
FLL,JAX,319,1/08/2006
STL,ATL,484,1/10/2006
MSP,LGA,1020,1/11/2006
LGA,MIA,1096,1/07/2006
SEA,JFK,2422,1/07/2006
SAN,DTW,1956,1/04/2006
SLC,ATL,1590,1/08/2006
MSP,TUS,1298,1/05/2006
LIT,ATL,453,1/09/2006
LGA,FLL,1076,1/03/2006
FSD,DFW,737,1/09/2006
ABI,DFW,158,1/12/2006
FAR,ORD,557,1/12/2006
EUG,LAX,748,1/06/2006
SJC,LAX,308,1/01/2006
LAX,SLC,590,1/03/2006
BUF,JFK,301,1/08/2006
LIH,HNL,102,1/07/2006
MCO,JFK,944,1/07/2006
SHV,IAH,192,1/04/2006
MCO,BOS,1121,1/05/2006
OGG,HNL,100,1/03/2006
LAS,IAH,1222,1/05/2006
GUM,HNL,3801,1/01/2006
LAX,HNL,2556,1/03/2006
ORF,CLT,290,1/07/2006
AUS,BWI,1342,1/08/2006
CAK,BOS,549,1/03/2006
CMH,RSW,930,1/04/2006
DAL,LGA,1381,1/11/2006
LAS,SNA,226,1/05/2006
SAN,DAL,1182,1/01/2006
ONT,MDW,1706,1/06/2006
PHX,DEN,602,1/09/2006
PIT,PHX,1814,1/02/2006
MCO,PHX,1849,1/06/2006
SFO,DFW,1464,1/05/2006
PHX,DFW,868,1/06/2006
DFW,DEN,641,1/03/2006
ANC,SCC,627,1/01/2006
SEA,ONT,956,1/02/2006
PHL,SLC,1927,1/02/2006
CMH,ATL,447,1/09/2006
CVG,ATL,373,1/04/2006
BOS,TPA,1185,1/01/2006
IND,ATL,432,1/11/2006
TVC,ORD,224,1/11/2006
DCA,DEN,1476,1/04/2006
ALO,ORD,234,1/12/2006
TLH,MIA,402,1/12/2006
TPA,DTW,983,1/09/2006
ASE,ORD,1013,1/09/2006
MEM,LAX,1619,1/11/2006
RIC,EWR,277,1/10/2006
AUS,LGB,1226,1/11/2006
FLL,LGA,1076,1/10/2006
MIA,SJU,1045,1/01/2006
LAS,MSP,1299,1/08/2006
HNL,OGG,100,1/10/2006
JFK,SJU,1598,1/08/2006
IAH,ORD,925,1/02/2006
CLE,SFO,2161,1/02/2006
SFO,CLT,2296,1/06/2006
MSY,CLT,651,1/07/2006
SEA,SFO,679,1/09/2006
BOI,DEN,649,1/07/2006
BNA,LAS,1587,1/12/2006
CMH,LAS,1771,1/10/2006
DCA,BNA,562,1/12/2006
ISP,PBI,1052,1/07/2006
MCO,MDW,990,1/05/2006
SAN,SJC,417,1/08/2006
SEA,PHX,1107,1/03/2006
STL,LAS,1371,1/02/2006
HOU,MDW,937,1/08/2006
PHX,ATL,1587,1/08/2006
BWI,ORD,622,1/09/2006
PBI,EWR,1023,1/03/2006
MIA,DFW,1121,1/12/2006
MIA,SFO,2585,1/04/2006
SEA,JFK,2422,1/12/2006
ELP,DFW,551,1/06/2006
MIA,LGA,1096,1/10/2006
MIA,ORD,1197,1/10/2006
AUS,LAX,1242,1/01/2006
ONT,DFW,1188,1/05/2006
DFW,RDU,1061,1/05/2006
RNO,DFW,1345,1/10/2006
DFW,FLL,1119,1/03/2006
SMF,SEA,605,1/02/2006
PBI,BOS,1197,1/01/2006
BOS,ORD,867,1/07/2006
MCO,HPN,972,1/11/2006
BOS,STT,1693,1/09/2006
MEM,MCO,684,1/09/2006
CLT,ATL,226,1/08/2006
PHX,ATL,1587,1/02/2006
PHX,JFK,2153,1/12/2006
MSY,ATL,425,1/10/2006
RDU,ATL,356,1/12/2006
BOS,ATL,946,1/11/2006
LAS,ATL,1747,1/01/2006
MCI,IAH,643,1/08/2006
IAH,CLT,912,1/09/2006
CLE,LGA,419,1/12/2006
IAD,CVG,388,1/10/2006
MCO,MDT,851,1/06/2006
XNA,DFW,280,1/01/2006
MHK,ORD,501,1/11/2006
DFW,LAX,1235,1/12/2006
TUS,LAX,451,1/03/2006
IMT,RHI,67,1/02/2006
MRY,LAX,266,1/04/2006
ASE,LAX,737,1/10/2006
EWR,PBI,1023,1/05/2006
SFO,SBP,190,1/07/2006
FLL,LGA,1076,1/08/2006
MCO,SLC,1931,1/09/2006
CRP,IAH,201,1/04/2006
BZN,DEN,524,1/11/2006
JFK,FLL,1069,1/03/2006
MAF,IAH,429,1/05/2006
ITO,HNL,216,1/02/2006
DTW,IAH,1075,1/01/2006
ORD,MKE,67,1/07/2006
IAH,BWI,1235,1/09/2006
SFO,ORD,1846,1/08/2006
ORD,LAX,1744,1/12/2006
LAX,BNA,1797,1/06/2006
LGA,DAL,1381,1/10/2006
MCI,MCO,1072,1/07/2007
MKE,ATL,669,1/01/2007
ALB,FLL,1204,1/10/2007
PVD,TPA,1136,1/08/2007
SFO,LAS,414,1/09/2007
PDX,LAS,763,1/05/2007
IAH,SFO,1635,1/02/2007
TPA,PHX,1788,1/06/2007
SFO,JFK,2586,1/11/2007
DFW,PHL,1303,1/04/2007
SAT,DFW,247,1/12/2007
IAD,MIA,921,1/03/2007
BWI,MIA,946,1/11/2007
MIA,EWR,1085,1/08/2007
MIA,MCO,192,1/06/2007
BDL,DFW,1471,1/03/2007
LAX,DFW,1235,1/10/2007
SEA,JNU,909,1/12/2007
SEA,SFO,679,1/11/2007
PDX,KOA,2607,1/01/2007
OAK,OGG,2349,1/07/2007
BDL,FLL,1173,1/05/2007
BDL,ATL,859,1/09/2007
DEN,MSP,680,1/02/2007
ATL,SLC,1590,1/04/2007
CVG,TPA,773,1/04/2007
PDX,SLC,630,1/12/2007
ORD,RIC,642,1/05/2007
CLE,MSP,622,1/07/2007
IAH,DTW,1075,1/12/2007
IAH,CMH,986,1/10/2007
DFW,HOU,247,1/02/2007
LCH,DFW,295,1/11/2007
LIT,ORD,552,1/04/2007
BIS,DFW,977,1/09/2007
DFW,CVG,812,1/09/2007
IAH,MCO,854,1/09/2007
ORF,ORD,717,1/05/2007
LAX,CLD,86,1/06/2007
TYS,ORD,475,1/01/2007
ELP,DEN,563,1/07/2007
HNL,ITO,216,1/03/2007
LAS,DEN,628,1/05/2007
JNU,KTN,234,1/02/2007
EWR,IAH,1400,1/07/2007
HNL,SFO,2398,1/06/2007
JAC,DEN,406,1/01/2007
PHX,IAD,1956,1/03/2007
IAH,IAD,1190,1/08/2007
ORD,CLT,599,1/10/2007
BDL,DEN,1671,1/07/2007
DEN,CAK,1224,1/12/2007
FLL,ATL,581,1/07/2007
ATL,DAL,721,1/10/2007
PIT,RSW,966,1/11/2007
RIC,MCO,667,1/03/2007
PHL,ATL,666,1/01/2007
EWR,FLL,1065,1/05/2007
CMH,PHX,1670,1/04/2007
DTW,PHX,1671,1/07/2007
SJC,ORD,1829,1/04/2007
ABQ,DFW,569,1/03/2007
PSP,DFW,1126,1/02/2007
TPA,LAX,2158,1/06/2007
DFW,IAH,224,1/03/2007
BNA,DFW,631,1/11/2007
PDX,SFO,550,1/11/2007
SEA,LAS,867,1/07/2007
SEA,PHX,1107,1/04/2007
BUF,FLL,1165,1/10/2007
FLL,MSP,1487,1/06/2007
IAH,ATL,689,1/12/2007
ATL,BDL,859,1/12/2007
RAP,DFW,835,1/11/2007
DFW,CRP,354,1/12/2007
MEI,DFW,485,1/05/2007
CVG,FLL,932,1/12/2007
DBQ,ORD,147,1/09/2007
GCK,DFW,404,1/12/2007
GNV,MIA,294,1/11/2007
DTW,DFW,986,1/07/2007
ORD,LAX,1744,1/09/2007
SLC,LAX,590,1/01/2007
BRD,MSP,114,1/02/2007
SAT,DTW,1214,1/02/2007
TUS,DEN,639,1/06/2007
MCO,CLE,895,1/02/2007
HNL,LIH,102,1/07/2007
IAH,EWR,1400,1/08/2007
IAH,MCO,854,1/02/2007
IAH,GPT,376,1/05/2007
DIK,DEN,488,1/02/2007
TPA,JFK,1005,1/08/2007
BTV,LGA,258,1/01/2007
IAH,LAX,1379,1/06/2007
LGA,IAH,1416,1/04/2007
ATL,SFO,2139,1/03/2007
JFK,MCO,944,1/08/2007
LGA,TPA,1010,1/05/2007
BNA,SLC,1404,1/10/2007
CLT,PHX,1773,1/10/2007
CLT,PHL,449,1/10/2007
PHX,CLT,1773,1/09/2007
LAX,JFK,2475,1/01/2007
LAS,BUR,223,1/09/2007
RDU,LAS,2026,1/10/2007
SJU,FLL,1046,1/09/2007
IAH,DEN,862,1/08/2007
PHL,ORD,678,1/08/2007
STL,PHX,1262,1/09/2007
MSP,PHX,1276,1/06/2007
DCA,DFW,1192,1/02/2007
SFO,LAX,337,1/11/2007
JFK,BOS,187,1/07/2007
LGA,DFW,1389,1/01/2007
STL,ORD,258,1/10/2007
DFW,MCI,460,1/08/2007
LGA,PBI,1035,1/09/2007
MCO,MIA,192,1/04/2007
DFW,LAS,1055,1/05/2007
BOS,FLL,1237,1/03/2007
FLL,BOS,1237,1/12/2007
EWR,SJU,1608,1/07/2007
FLL,JFK,1069,1/07/2007
GSO,ATL,306,1/08/2007
MSP,PIT,726,1/11/2007
LAX,ATL,1947,1/05/2007
PNS,ATL,271,1/10/2007
LAS,DTW,1749,1/12/2007
MSP,ATL,907,1/04/2007
ATL,MIA,594,1/09/2007
SDF,ATL,321,1/08/2007
DFW,DTW,986,1/07/2007
BWI,SLC,1865,1/06/2007
CHS,ATL,259,1/07/2007
DEN,LGA,1620,1/12/2007
HPN,RSW,1102,1/10/2007
HPN,ORD,738,1/11/2007
LBB,IAH,458,1/07/2007
CAE,ATL,192,1/01/2007
AVP,ORD,632,1/03/2007
ORD,ATL,606,1/08/2007
GSO,DFW,999,1/08/2007
HNL,KOA,163,1/06/2007
SGF,DFW,364,1/10/2007
SGF,ORD,438,1/07/2007
CID,DFW,685,1/10/2007
CMI,ORD,135,1/04/2007
DFW,BTR,383,1/11/2007
DFW,SHV,190,1/11/2007
DFW,TYS,772,1/02/2007
COU,ORD,315,1/11/2007
FLL,DFW,1119,1/11/2007
FLL,DTW,1127,1/11/2007
ACY,MCO,852,1/10/2007
RDM,LAX,726,1/10/2007
HLN,SLC,402,1/04/2007
OKC,SLC,866,1/05/2007
SFO,SMF,86,1/05/2007
MSP,SFO,1589,1/12/2007
DFW,SFO,1464,1/12/2007
SLC,DEN,391,1/07/2007
BTM,SLC,358,1/09/2007
LGA,PBI,1035,1/09/2007
CVG,RSW,879,1/09/2007
DFW,ATL,731,1/07/2007
STL,SFO,1735,1/11/2008
BOS,DEN,1754,1/11/2008
FLL,DEN,1703,1/02/2008
ORD,IAH,925,1/02/2008
FLL,ORD,1182,1/08/2008
CMH,ORD,296,1/04/2008
MIA,DEN,1709,1/04/2008
LAX,CLT,2125,1/11/2008
TPA,MIA,204,1/09/2008
MEM,CLT,511,1/05/2008
PHL,MIA,1013,1/05/2008
CLE,MCO,895,1/10/2008
ATL,MDW,591,1/02/2008
ELP,AUS,528,1/01/2008
EWR,MDW,711,1/09/2008
ISP,MCO,971,1/08/2008
MCI,BWI,967,1/01/2008
MCI,MSY,689,1/12/2008
MCO,BNA,616,1/12/2008
SEA,SAN,1050,1/03/2008
SJC,LAS,386,1/03/2008
SLC,PHX,507,1/06/2008
HOU,PHX,1020,1/03/2008
LAX,IAD,2288,1/12/2008
MCO,DFW,985,1/07/2008
LAS,LAX,236,1/06/2008
DFW,BDL,1471,1/10/2008
PBI,DFW,1102,1/10/2008
SLC,DFW,989,1/08/2008
SEA,KTN,680,1/08/2008
JNU,ANC,571,1/11/2008
SEA,DEN,1024,1/10/2008
TPA,DCA,814,1/02/2008
BOS,MCO,1121,1/12/2008
MSP,PDX,1426,1/10/2008
LAX,SLC,590,1/10/2008
RSW,DFW,1017,1/12/2008
DTW,FLL,1127,1/06/2008
SHV,DFW,190,1/02/2008
IAH,IND,844,1/03/2008
DFW,LIT,304,1/05/2008
LAX,SMF,373,1/02/2008
OGG,HNL,100,1/04/2008
FLL,EWR,1065,1/01/2008
BOS,PBI,1197,1/01/2008
CLE,IAH,1091,1/03/2008
ORD,EWR,719,1/03/2008
DEN,PDX,991,1/07/2008
BDL,RSW,1180,1/08/2008
IND,BWI,516,1/05/2008
LAS,DAL,1067,1/11/2008
LAS,SAT,1069,1/06/2008
LAX,DAL,1246,1/12/2008
MCO,DAL,973,1/07/2008
MCO,STL,882,1/03/2008
PHX,HOU,1020,1/05/2008
SMF,PHX,647,1/11/2008
TPA,ATL,406,1/04/2008
TUL,DAL,237,1/02/2008
LAX,PHX,370,1/09/2008
MCI,DFW,460,1/06/2008
DFW,SJC,1438,1/10/2008
DEN,DFW,641,1/08/2008
RDU,ORD,646,1/01/2008
AUS,DFW,190,1/09/2008
DFW,ORD,802,1/06/2008
JFK,RDU,427,1/07/2008
SJU,FLL,1046,1/12/2008
JFK,IAD,228,1/12/2008
RSW,MSP,1416,1/10/2008
SFO,ATL,2139,1/04/2008
MCO,MSP,1310,1/08/2008
BWI,ATL,577,1/05/2008
JFK,SRQ,1041,1/04/2008
DEN,SEA,1024,1/08/2008
TTN,CVG,532,1/06/2008
DFW,TUL,237,1/07/2008
DFW,GRK,134,1/03/2008
DFW,PNS,604,1/01/2008
XNA,ORD,522,1/07/2008
MEM,ORD,491,1/09/2008
OKC,ORD,693,1/10/2008
MRY,LAX,266,1/11/2008
FLL,ATL,581,1/11/2008
OKC,SFO,1384,1/12/2008
SJU,IAH,2007,1/11/2008
SLC,IAH,1195,1/06/2008
LAX,SAN,109,1/06/2008
IAD,ORD,589,1/12/2008
MIA,PHL,1013,1/07/2008
MCI,ORD,403,1/04/2008
BOI,IAH,1482,1/09/2008
IAH,MIA,964,1/11/2008
FLL,IAH,965,1/10/2008
AUS,DEN,775,1/02/2008
ORD,BTV,763,1/05/2008
ORD,DSM,299,1/08/2008
PHL,IAH,1325,1/05/2008
SFO,IAD,2419,1/11/2008
BNA,CLT,328,1/11/2008
STL,CLT,575,1/04/2008
AUS,PHL,1430,1/05/2008
ATL,PHX,1587,1/01/2008
SAN,IAD,2253,1/10/2008
LGA,DEN,1620,1/02/2008
CLT,BWI,361,1/12/2008
DAL,ATL,721,1/09/2008
DAL,FLL,1108,1/11/2008
DAL,LAS,1067,1/07/2008
DAL,PHX,879,1/08/2008
MDW,DEN,895,1/03/2008
MSY,LAS,1500,1/06/2008
PIT,LAS,1910,1/08/2008
SLC,DEN,391,1/07/2008
STL,MDW,251,1/12/2008
PBI,ATL,545,1/08/2008
MIA,EWR,1085,1/07/2008
CLE,PHX,1737,1/06/2008
DFW,IND,761,1/01/2008
DFW,SEA,1660,1/01/2008
TPA,ORD,1012,1/12/2008
DFW,DTW,986,1/03/2008
FLL,DFW,1119,1/03/2008
SEA,SNA,978,1/03/2008
MCO,SJU,1189,1/07/2008
JFK,CHS,636,1/03/2008
SAT,ATL,874,1/01/2008
JAX,ATL,270,1/04/2008
EWR,ATL,746,1/03/2008
SEA,ATL,2182,1/03/2008
ATL,LGA,762,1/02/2008
SAV,ATL,214,1/06/2008
BNA,ATL,214,1/02/2008
MIA,ATL,594,1/01/2008
TPA,JFK,1005,1/05/2008
FLL,ATL,581,1/05/2008
SLC,DTW,1481,1/05/2008
EWR,DAY,533,1/09/2008
OKC,DTW,900,1/02/2008
SCE,ORD,528,1/04/2008
ELM,ORD,566,1/12/2008
SYR,ORD,607,1/06/2008
DEN,DCA,1476,1/06/2008
GRB,ORD,173,1/06/2008
BTR,DFW,383,1/07/2008
DCA,ORD,612,1/04/2008
MKE,IAH,984,1/04/2008
ASE,IAH,913,1/04/2008
COS,ORD,911,1/07/2008
PBI,EWR,1023,1/05/2008
CLT,IAH,912,1/09/2008
RKS,SLC,162,1/04/2008
MCO,IAH,854,1/08/2008
SJU,STT,68,1/05/2008
PIH,SLC,150,1/02/2008
IAH,AUS,140,1/02/2008
LAX,LAS,236,1/01/2008
BUF,PHX,1912,1/09/2008
DAL,TUL,237,1/10/2008
HOU,ATL,696,1/11/2008
MKE,PHX,1460,1/10/2008
STL,MCO,882,1/11/2008
PHL,DEN,1558,1/11/2008
MIA,IAH,964,1/09/2008
CLE,TPA,927,1/12/2008
RSW,ORD,1120,1/09/2008
BOS,ORD,867,1/11/2008
SMF,DFW,1431,1/11/2008
DFW,LGA,1389,1/12/2008
ICT,DFW,328,1/02/2008
BOS,MIA,1258,1/10/2008
DFW,DCA,1192,1/11/2008
PDX,BOS,2537,1/09/2008
SEA,LAX,954,1/10/2008
SEA,BUR,937,1/05/2008
SLC,SFO,599,1/08/2008
MEM,ATL,332,1/08/2008
DFW,OKC,175,1/08/2008
MOB,IAH,427,1/10/2008
RIC,ORD,642,1/06/2008
SJC,OGG,2355,1/07/2008
CMH,ORD,296,1/08/2008
MSP,MCO,1310,1/12/2008
DFW,LGA,1389,1/10/2008
SUN,SLC,222,1/11/2008
LWS,SLC,461,1/09/2008
IDA,SLC,188,1/08/2008
LAS,LAX,236,1/05/2008
PSP,PHX,261,1/07/2008
EWR,MCO,937,1/06/2008
EWR,RDU,416,1/02/2008
